Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Compete To Create,Washington,Software Engineer,4/23/20 19:20,No,2015,10-Jan,5
Compound,California,Finance/Accounting,4/17/20 18:51,No,2016,Nov-50,8
"Comscore, Inc.",Virginia,Product Manager,4/17/20 18:51,No,1999,1001 - 5000,1099
Confidential Company,New York,Operation,4/17/20 18:51,No,2018,501 - 1000,462
Confluent,California,Product Manager,4/17/20 18:51,No,2014,201 - 500,172
Contentsquare,New York,Customer Service,4/24/20 16:18,No,2012,501 - 1000,198
Corporate Brokers,California,HR,4/17/20 18:51,No,2003,51 - 200,98
Coupang,"California, Washington","Data Science,Software Engineer",4/8/20 17:24,No,2010,1001 - 5000,773
Course Hero,California,"Software Engineer,Designer,Operations,Marketing,Data Science,Product Manager",4/23/20 19:20,No,2006,201 - 500,134
Coursera,California,"Software Engineer,HR,Sales,Finance/Accounting",4/8/20 1:18,No,2012,1001 - 5000,585
Credit Sesame,California,Software Engineer,4/7/20 21:32,No,2010,51 - 200,52
Credit Suisse,US,Finance/Accounting,4/8/20 2:39,Yes,1856,10001+,31429
Crunchbase,California,Software Engineer,4/23/20 19:20,No,2007,51 - 200,56
Crystal Equation Corporation,California,Marketing,4/17/20 18:51,No,2006,51 - 200,78
Curai,California,Operations,4/23/20 19:20,No,2017,Nov-50,16
Curated,California,"Software Engineer,Operations,Marketing,Finance/Accounting",4/23/20 19:20,No,2014,10-Jan,1
Cushion,New York,Software Engineer,4/16/20 22:45,No,2017,Nov-50,6
Daily Harvest,New York,"Software Engineer,Data Science",4/8/20 3:45,No,2014,51 - 200,47
Darigold,Texas,Operation,4/17/20 18:51,No,1918,501 - 1000,419
Dashlane,New York,Finance/Accounting,4/24/20 16:18,No,2009,51 - 200,94
Data Dog,New York,Software Engineer,4/17/20 9:55,No,2012,51 - 200,28
Databricks,California,"Software Engineer,Data Science",4/22/20 17:51,Yes,2013,201 - 500,247
Datadog,"New York, Massachusetts, Colorado","Software Engineer,Other,Product Manager,Data Science,Sales,Marketing",4/8/20 3:49,No,2010,501 - 1000,479
Datameer,Georgia,Operation,4/16/20 18:46,No,2009,51 - 200,91
Definitive Logic,Texas,Operation,4/17/20 18:51,No,1999,51 - 200,75
Degreed,Utah,"Software Engineer,Data Science,HR,Sales,Marketing",4/8/20 3:50,No,2012,201 - 500,160
Delfos,US,"IT,Software Engineer,Other",4/14/20 13:51,No,2016,51 - 200,17
Deliverr,California,"Software Engineer,Operations,Marketing,Sales",4/23/20 19:20,No,2017,Nov-50,4
Descript,California,HR,4/17/20 18:51,No,2017,10-Jan,3
Deutsche Bank,US,Finance/Accounting,4/8/20 2:40,Yes,1870,10001+,37595
Diffbot,California,"Software Engineer,Marketing,Sales",4/23/20 19:20,No,2011,Nov-50,16
Digit,California,Customer Service,4/17/20 18:51,No,1996,51 - 200,40
